kind,title,location,leaders,start,finish,lat,lon,description
"operation","Treatment and Evacuation on Mt. Diablo","Mt. Diablo","Daley","2010-08-30","","37.881591","-121.913847","[http://bamru.blogspot.com/2010/07/treatment-and-evacuation-on-mt-diablo.html]"
"operation","Search in Marin County","Pt. Reyes","Frantz","2010-07-08","","38.018281","-122.854923","[http://bamru.blogspot.com/2010/07/search-in-marin-county.html]"
"operation","Western States UltraMarathon","Auburn","Marciniak","2010-07-01","","38.991731","-120.924532","[http://bamru.blogspot.com/2010/07/western-states-ultramarathon.html]"
"operation","Statewide Search Activity","Butte County","TBA","2010-06-21","","39.625395","-121.537","[http://bamru.blogspot.com/2010/06/bamru-search-activity.html]"
"operation","Cantu Search Update","Tracy, CA","TBA","2010-06-15","","37.750019","-121.468502","[http://bamru.blogspot.com/2010/06/cantu-search.html]"
"operation","Luckiest Man in Tahoe","Donner Pass","TBA","2010-03-05","","39.368698","-120.379431","[http://bamru.blogspot.com/2010/03/luckiest-man-in-tahoe.html]"
"operation","Rogue Wave at Mavericks","Half Moon Bay","Seffens","2010-02-15","","37.496069","-122.495244","[http://bamru.blogspot.com/2010/02/rogue-wave-at-mavericks.html]"
"operation","Evacuation of Injured Ice Climber","Eagle Creek","Rahe, Walton","2010-02-13","","38.943578","-120.120375","[http://bamru.blogspot.com/2010/02/day-of-ice-climbing-turns-into.html]"
"operation","Missing Hiker in Henry Coe","Henry Coe State Park","Marciniak","2010-01-31","","37.169305","-121.422761","[http://bamru.blogspot.com/2010/01/missing-hiker-in-henry-coe.html]"
"operation","BAMRU Search in Point Reyes","Point Reyes","Marciniak","2010-01-26","","38.090668","-122.921227","[http://bamru.blogspot.com/2010/01/bamru-search-in-point-reyes.html]"
"operation","Deceased Hiker Recovered","Santa Cruz Mountains","Frantz","2010-01-24","","37.399212","-122.293709","[http://bamru.blogspot.com/2010/01/deceased-hiker-recovered.html]"
"other","Test Event","TBA","TBA","2012-04-08","","","","This is a test event."
"other","Event Test","TBA","TBA","2011-04-28","","","","This is a test to see if it works with ' apostrophes and ' quotes."
